"Company Legal Name","Company Legal Name"
"Company Email","Company Email"
"VAT/TAX ID","VAT/TAX ID"
"Re-seller ID","Re-seller ID"
"Legal Address","Legal Address"
"Street Address","Street Address"
City,City
Country,Country
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"ZIP/Postal Code","ZIP/Postal Code"
"Phone Number","Phone Number"
Submit,Submit
"+ New Role","+ New Role"
Roles,Roles
ID,ID
"Role Name","Role Name"
"Qty of Associated Users","Qty of Associated Users"
Delete,Delete
"Are you Sure?","Are you Sure?"
"We couldn't find any records.","We couldn't find any records."
"Role Title","Role Title"
"Role Access Permissions","Role Access Permissions"
"+ New User","+ New User"
Users,Users
Name,Name
"Company Role","Company Role"
Email,Email
Inactivate,Inactivate
Activate,Activate
"Are you Sure? This action will permanently delete the User and his/her Customer Account.","Are you Sure? This action will permanently delete the User and his/her Customer Account."
"User Role","User Role"
"Job Title","Job Title"
"Access to the requested page is denied. If you think this is a mistake, please contact your Company Administrator at %1","Access to the requested page is denied. If you think this is a mistake, please contact your Company Administrator at %1"
Apply,Apply
"Company registration request","Company registration request"
"That is an automatic notification about new company creation.","That is an automatic notification about new company creation."
Customer,Customer
"Company details","Company details"
"The company account is in Active status.","The company account is in Active status."
"That is an automatic notification about submit of company registration request.","That is an automatic notification about submit of company registration request."
"The company account is in Pending status.","The company account is in Pending status."
"You have been appointed as the Sales Representative to %name company.","You have been appointed as the Sales Representative to %name company."
"The status of company %name is now Active.","The status of company %name is now Active."
"The Company Administrator of %name has been changed, and now you are a regular member of the company.","The Company Administrator of %name has been changed, and now you are a regular member of the company."
"If you believe this is a mistake, please contact your manager for details.","If you believe this is a mistake, please contact your manager for details."
Dear,Dear
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"You've been added to the %name as the company member. Once you <a href=""%customer_url"">sign in</a>, you’ll see company information tabs under your account. The visibility of tabs may be limited by assigned company role.","You've been added to the %name as the company member. Once you <a href=""%customer_url"">sign in</a>, you’ll see company information tabs under your account. The visibility of tabs may be limited by assigned company role."
"If this is a mistake, please contact the company administrator at","If this is a mistake, please contact the company administrator at"
"The status of company %name is now Inactive.","The status of company %name is now Inactive."
"You have been appointed to %name as the Company Administrator.","You have been appointed to %name as the Company Administrator."
"Please <a href=""%customer_url"">sign in</a> to manage company account and users.","Please <a href=""%customer_url"">sign in</a> to manage company account and users."
"company account has been Rejected on","company account has been Rejected on"
"The reason:","The reason:"
"All company users are not able to login.","All company users are not able to login."
"Please contact the seller for further information.","Please contact the seller for further information."
"Expand All","Expand All"
"Collapse All","Collapse All"
No,No
Yes,Yes
"There is already an account with this email address.","There is already an account with this email address."
"Amasty Company Accounts","Amasty Company Accounts"
"Manage Companies","Manage Companies"
Information,Information
General,General
"Allow Company Creation for Customer Group(s)","Allow Company Creation for Customer Group(s)"
"Approve Companies Automatically","Approve Companies Automatically"
"If set to Yes, all new companies will automatically get Active status.","If set to Yes, all new companies will automatically get Active status."
"Inactivate Customer upon Removing from Company Account","Inactivate Customer upon Removing from Company Account"
"if disabled, the customer will still remain Active after being removed from Company in admin panel. Note: you can change Customer's Status on Customer edit page.","if disabled, the customer will still remain Active after being removed from Company in admin panel. Note: you can change Customer's Status on Customer edit page."
"Admin Notifications","Admin Notifications"
"Email Sender","Email Sender"
"Email Receiver for 'New Company' Notifications","Email Receiver for 'New Company' Notifications"
"Email Template for New Company Request","Email Template for New Company Request"
"Email Template for New Company Creation","Email Template for New Company Creation"
"Email Template for Sales Representative Appointment","Email Template for Sales Representative Appointment"
"Customer Notifications","Customer Notifications"
"Email Template for Active Status","Email Template for Active Status"
"Email Template for Inactive Status","Email Template for Inactive Status"
"Email Template for Rejected Status","Email Template for Rejected Status"
"Email Template for Customer Linking to a Company","Email Template for Customer Linking to a Company"
"Email Template for Delete Company","Email Template for Delete Company"
"Email Template for New Company Administrator Appointment","Email Template for New Company Administrator Appointment"
"Email Template for Previous Company Administrator Unassignment","Email Template for Previous Company Administrator Unassignment"
All,All
View,View
Add,Add
"Place (Checkout)","Place (Checkout)"
"View (own orders)","View (own orders)"
"View (orders of all Users)","View (orders of all Users)"
"Payments Standard","Payments Standard"
ZIP,ZIP
"Customer Group","Customer Group"
"Edit Company","Edit Company"
Back,Back
Reset,Reset
Save&Close,Save&Close
"Rejected Date","Rejected Date"
"Click here to choose a Customer","Click here to choose a Customer"
"Choose Admin User","Choose Admin User"
Cancel,Cancel
"Assign the same Customer Group to all Users","Assign the same Customer Group to all Users"
"We recommend using ‘No’ option if customer groups are configured to be assigned automatically based on VAT ID validation results. Otherwise, the default settings will be ignored and all company users will have the same Customer Group.","We recommend using ‘No’ option if customer groups are configured to be assigned automatically based on VAT ID validation results. Otherwise, the default settings will be ignored and all company users will have the same Customer Group."
"All company members will be automatically assigned to this customer group.","All company members will be automatically assigned to this customer group."
"VAT\TAX ID","VAT\TAX ID"
"Reseller ID","Reseller ID"
"Add New User","Add New User"
"Choose User","Choose User"
Remove,Remove
Role,Role
"Payment Restrictions","Payment Restrictions"
"Restricted Payment Methods","Restricted Payment Methods"
"Add New Company","Add New Company"
"Set Active","Set Active"
"Are you sure you want to activate selected company accounts?","Are you sure you want to activate selected company accounts?"
"Set Inactive","Set Inactive"
"Are you sure you want to deactivate selected company accounts?","Are you sure you want to deactivate selected company accounts?"
"Are you sure you want to delete chosen companies? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive.","Are you sure you want to delete chosen companies? The action cannot be undone after confirmation. The customer status of deleted company’s users will be set to Inactive."
"Company Admin","Company Admin"
Company,Company
"Is Active","Is Active"
